time_value,Australian Capital Territory,New South Wales,Northern Territory,Queensland,South Australia,Tasmania,Victoria,Western Australia
2021-11-22,19,166,1,1,0,1,813,1
2021-11-23,15,245,14,2,0,0,1188,0
2021-11-24,8,273,0,2,0,0,1246,0
2021-11-25,8,257,3,0,4,0,1355,1
2021-11-26,7,232,2,1,5,0,1233,0
2021-11-27,7,185,2,3,0,0,1038,0
2021-11-28,7,144,1,5,0,0,999,0
2021-11-29,6,175,2,2,1,0,913,0
2021-11-30,4,242,4,3,0,1,1163,0
2021-12-01,8,264,0,3,20,0,1409,0
2021-12-02,4,334,2,6,1,0,1175,0
2021-12-03,7,323,1,7,4,0,1365,1
2021-12-04,6,281,1,6,5,0,950,0
2021-12-05,6,203,3,3,10,0,1060,0
2021-12-06,2,251,2,0,0,0,1180,0
2021-12-07,8,395,0,2,4,0,1296,0
2021-12-08,4,417,0,0,1,0,1232,0
2021-12-09,0,511,7,8,7,0,1177,1
2021-12-10,17,552,1,2,8,0,1177,0
2021-12-11,1,477,0,1,17,0,1048,0
2021-12-12,3,529,22,8,13,0,1268,0
2021-12-13,4,795,0,4,0,0,1182,1
2021-12-14,6,1347,15,8,37,0,1395,1
2021-12-15,12,1738,15,22,24,1,1611,0
2021-12-16,20,2199,8,17,64,2,1492,0
2021-12-17,18,2468,0,31,0,1,1504,0
2021-12-18,18,2558,12,39,73,3,1159,0
2021-12-19,13,2482,0,59,185,3,1289,0
2021-12-20,16,3033,11,86,112,4,1230,0
2021-12-21,58,3737,5,171,41,12,1506,1
2021-12-22,85,5686,17,364,193,26,1982,4
2021-12-23,102,5578,0,0,482,0,2054,6
2021-12-24,142,6248,21,586,688,65,2108,0
2021-12-25,71,6379,0,759,633,0,1608,9
2021-12-26,177,6310,30,711,774,81,1800,1
2021-12-27,244,6031,4,1928,838,49,2698,5
2021-12-28,125,11149,26,1573,998,57,3750,0
2021-12-29,248,12182,22,2218,1465,97,5137,0
2021-12-30,5,21131,76,3111,3453,148,5882,5
2021-12-31,446,22547,0,0,0,0,7362,8
