time_value,Alberta,British Columbia,Manitoba,New Brunswick,Newfoundland and Labrador,Northwest Territories,Nova Scotia,Nunavut,Ontario,Prince Edward Island,Quebec,Saskatchewan,Yukon
2021-05-10,1597,1767,498,11,3,3,117,7,2113,0,671,154,0
2021-05-11,1449,515,328,2,15,10,118,14,2596,4,834,195,2
2021-05-12,1799,600,364,9,10,2,145,8,2606,0,858,213,0
2021-05-13,1558,587,557,16,7,1,110,12,2387,0,888,229,0
2021-05-14,1433,494,489,5,6,6,117,12,2424,0,790,236,0
2021-05-15,1195,0,428,7,5,0,86,5,2212,0,659,196,0
2021-05-16,1140,0,532,11,9,0,126,1,1724,0,559,167,0
2021-05-17,721,1360,430,10,10,0,91,0,1612,0,577,181,0
2021-05-18,877,411,334,10,6,4,90,6,1923,7,584,129,0
2021-05-19,908,521,401,8,3,1,83,4,2115,5,800,141,0
2021-05-20,812,357,602,7,4,0,65,2,1807,0,676,146,0
2021-05-21,732,420,588,15,10,1,84,1,1883,0,555,182,0
2021-05-22,621,0,473,2,4,0,64,1,1592,0,495,180,0
2021-05-23,563,0,459,14,23,0,73,0,1235,0,349,115,0
2021-05-24,452,0,351,15,5,0,49,1,1013,0,383,104,0
2021-05-25,387,1263,259,9,11,0,52,1,1004,1,399,111,0
2021-05-26,390,250,310,10,4,0,37,7,1201,0,461,181,0
2021-05-27,513,378,295,9,6,0,33,0,1217,0,413,162,0
2021-05-28,512,317,493,9,14,0,40,1,1036,0,400,122,0
2021-05-29,406,0,355,10,9,0,33,0,1053,0,303,179,0
2021-05-30,391,0,291,9,7,0,20,0,690,0,273,171,0
2021-05-31,263,708,300,12,2,1,17,0,684,0,249,113,0
2021-06-01,209,184,226,3,6,0,12,0,817,4,283,86,0
2021-06-02,410,194,264,12,17,0,14,0,857,0,296,132,0
2021-06-03,296,199,355,16,6,0,25,0,856,0,271,131,0
2021-06-04,244,183,326,10,2,0,15,1,709,0,234,89,0
2021-06-05,293,0,270,9,5,0,18,0,592,0,212,99,3
2021-06-06,231,0,220,3,5,0,12,0,490,0,153,74,0
2021-06-07,127,481,168,1,2,0,17,0,436,0,163,68,0
2021-06-08,139,165,234,1,3,0,14,0,526,2,199,90,1
2021-06-09,313,148,250,13,3,0,13,0,600,0,155,74,4
2021-06-10,178,153,247,3,5,0,14,1,525,0,216,92,4
2021-06-11,170,180,222,1,3,0,5,4,513,0,163,86,2
2021-06-12,179,0,291,7,6,0,10,3,427,0,133,106,0
2021-06-13,165,0,194,7,1,0,6,0,358,0,119,66,6
2021-06-14,115,277,124,1,4,0,7,0,356,0,110,55,3
2021-06-15,127,108,115,3,2,0,2,0,380,0,174,46,13
2021-06-16,153,113,143,3,1,0,8,0,364,0,150,83,0
2021-06-17,150,120,176,4,1,0,14,0,354,0,159,95,25
2021-06-18,124,108,183,2,0,0,11,0,324,0,130,107,0
2021-06-19,127,0,140,5,0,0,5,0,282,0,88,54,42
2021-06-20,100,0,93,2,0,0,2,0,268,0,94,60,0
2021-06-21,60,229,74,0,0,0,0,0,200,0,93,28,0
2021-06-22,57,56,62,1,1,0,2,0,278,0,128,34,33
2021-06-23,92,84,122,1,0,0,0,0,292,0,80,34,4
2021-06-24,73,75,103,2,0,0,5,0,298,0,81,53,18
2021-06-25,0,72,85,1,0,0,16,0,306,0,104,54,0
2021-06-26,0,0,102,1,0,0,11,0,243,0,79,62,22
2021-06-27,0,0,96,1,0,0,3,0,206,0,49,48,0
2021-06-28,209,131,61,1,1,0,3,0,192,0,97,17,0
2021-06-29,61,29,61,3,0,0,1,0,237,1,105,52,78
2021-06-30,76,43,70,3,1,0,4,0,233,0,74,31,15
2021-07-01,0,0,0,0,0,0,4,0,186,0,79,7,0
2021-07-02,110,84,139,4,1,0,2,0,198,0,66,21,31
2021-07-03,0,0,47,0,0,0,8,0,219,0,62,49,0
2021-07-04,0,0,64,1,0,0,3,0,158,0,40,27,0
2021-07-05,139,85,65,1,13,0,1,0,134,0,78,20,37
2021-07-06,33,7,34,0,0,0,7,0,222,0,87,7,10
2021-07-07,67,59,70,0,0,0,1,0,227,1,69,54,12
2021-07-08,23,63,81,0,0,0,2,0,159,0,73,113,9
2021-07-09,52,112,72,0,2,0,1,0,172,0,72,46,5
2021-07-10,0,0,87,0,0,0,1,0,157,0,60,42,0
2021-07-11,0,0,63,0,0,0,3,0,129,0,54,20,0
2021-07-12,90,123,31,0,0,0,0,0,114,0,60,17,19
2021-07-13,35,33,23,0,5,0,1,0,157,0,80,27,4
2021-07-14,46,41,44,0,3,0,0,0,145,0,32,7,6
2021-07-15,53,58,41,7,23,0,0,0,188,0,40,30,7
2021-07-16,41,45,37,2,0,0,0,0,172,0,43,21,5
2021-07-17,0,0,61,0,0,0,0,0,154,0,97,35,0
2021-07-18,0,0,42,1,0,0,3,0,128,0,81,36,0
2021-07-19,130,156,36,0,4,0,0,0,141,0,61,17,20
2021-07-20,69,76,32,0,0,0,0,0,166,0,0,22,5
2021-07-21,81,78,33,0,0,0,7,0,176,0,103,53,7
2021-07-22,106,89,53,1,0,0,0,0,196,0,0,31,8
2021-07-23,98,112,37,3,0,0,2,0,181,0,101,52,9
2021-07-24,0,0,58,0,0,0,0,0,147,0,121,48,0
2021-07-25,0,0,29,0,0,0,0,0,136,0,102,27,0
2021-07-26,387,267,10,1,0,0,1,0,131,0,75,44,28
2021-07-27,134,150,20,1,0,0,2,0,173,0,73,38,3
2021-07-28,194,185,26,2,0,0,0,0,238,0,133,65,0
2021-07-29,233,202,46,4,0,0,1,0,248,0,138,52,7
2021-07-30,187,243,45,7,0,0,1,0,232,0,125,58,7
2021-07-31,0,0,0,0,0,0,0,0,199,0,189,84,0
2021-08-01,0,0,0,18,0,0,0,0,161,0,158,43,0
2021-08-02,0,0,0,0,3,0,0,0,150,0,154,29,0
2021-08-03,743,742,98,11,0,1,6,0,216,0,175,24,14
2021-08-04,206,342,15,2,1,0,2,0,274,0,184,61,6
2021-08-05,397,402,33,13,0,0,4,0,359,0,305,70,7
2021-08-06,369,464,25,5,2,1,1,0,448,4,218,87,1
2021-08-07,0,0,0,0,0,0,0,0,345,0,235,139,0
2021-08-08,0,0,0,20,0,0,0,0,354,0,274,81,0
2021-08-09,1017,1079,96,5,0,0,7,0,338,0,250,56,9
2021-08-10,279,395,31,8,0,1,1,0,398,2,234,65,3
2021-08-11,501,536,32,13,0,0,3,0,535,0,365,92,2
2021-08-12,550,513,28,11,0,0,7,0,539,0,369,138,7
2021-08-13,582,717,21,19,4,0,1,0,541,0,426,125,2
2021-08-14,0,0,0,0,0,0,0,0,511,0,433,128,0
2021-08-15,0,0,0,0,0,2,0,0,463,0,321,143,0
2021-08-16,1407,1434,77,40,3,13,9,0,438,0,409,87,0
2021-08-17,407,501,22,13,0,56,1,0,524,6,323,108,13
2021-08-18,678,553,37,16,6,57,9,0,665,0,436,131,8
2021-08-19,817,689,26,23,0,0,8,0,710,0,436,190,3
2021-08-20,749,663,42,32,2,41,10,0,717,0,527,244,3
2021-08-21,0,0,0,0,0,29,0,0,685,0,563,187,0
2021-08-22,0,0,0,0,0,0,0,0,508,0,463,220,0
2021-08-23,1972,1711,107,58,2,0,17,0,536,4,376,18,7
2021-08-24,629,641,39,15,0,22,9,0,650,0,345,139,2
2021-08-25,1076,698,103,10,2,7,7,0,802,0,550,216,0
2021-08-26,1112,724,54,8,0,19,1,0,873,0,603,159,1
2021-08-27,1168,867,27,16,7,18,9,0,780,6,612,258,0
2021-08-28,0,0,0,0,0,5,0,0,712,0,604,355,0
2021-08-29,0,0,0,0,0,0,0,0,597,0,579,258,0
2021-08-30,3056,1853,175,39,9,0,31,0,635,0,386,201,5
2021-08-31,920,655,29,3,0,52,1,0,814,0,425,291,2
2021-09-01,1315,785,49,11,8,9,7,0,800,3,690,321,2
2021-09-02,1339,801,34,10,0,14,4,0,893,0,699,265,1
2021-09-03,1401,671,52,14,5,11,5,1,873,0,750,443,0
2021-09-04,0,0,0,0,0,13,7,0,673,0,666,354,0
2021-09-05,0,0,0,0,0,0,11,0,623,0,778,389,0
2021-09-06,0,0,0,0,15,0,7,0,558,0,530,394,0
2021-09-07,4903,2425,155,54,5,0,4,0,702,2,515,305,2
2021-09-08,1166,814,52,16,9,23,14,0,845,0,600,397,1
2021-09-09,1510,774,48,17,0,18,17,0,856,0,703,285,2
2021-09-10,1473,820,103,24,12,23,10,0,868,0,879,432,2
2021-09-11,0,0,0,0,0,28,32,0,727,0,0,341,0
2021-09-12,0,0,0,0,0,0,29,0,590,0,1752,422,0
2021-09-13,4740,1984,165,122,9,0,10,1,549,17,639,449,5
2021-09-14,1434,677,52,35,0,56,66,0,840,0,633,508,3
2021-09-15,1609,661,46,63,10,32,6,0,765,0,785,477,3
2021-09-16,1718,706,60,51,0,16,34,0,829,0,782,440,1
2021-09-17,2020,768,86,57,4,25,18,0,738,18,837,476,3
2021-09-18,0,0,0,0,0,29,0,0,655,0,821,493,0
2021-09-19,0,0,0,0,0,0,0,0,532,0,742,543,0
2021-09-20,4633,1699,147,199,15,0,55,2,598,14,679,516,9
2021-09-21,1519,525,63,65,16,58,25,0,641,0,587,372,0
2021-09-22,1336,759,58,76,23,27,19,0,719,0,683,426,11
2021-09-23,1660,861,64,52,0,18,41,2,658,0,754,460,2
2021-09-24,1651,743,56,78,45,30,34,0,655,0,701,527,7
2021-09-25,0,0,0,61,14,36,0,0,595,0,0,547,0
2021-09-26,0,0,0,82,24,0,0,0,454,0,0,552,0
2021-09-27,5181,2239,294,86,25,0,83,0,500,11,2033,393,6
2021-09-28,1246,652,39,68,14,52,29,0,605,1,469,449,3
2021-09-29,1682,813,110,84,16,49,40,1,634,0,594,394,1
2021-09-30,1706,0,0,99,0,40,0,0,646,0,655,602,0
2021-10-01,1630,1449,185,85,41,0,77,0,608,0,643,471,3
2021-10-02,0,0,0,140,9,84,0,0,519,0,640,480,0
2021-10-03,0,0,0,93,8,0,0,0,510,0,499,354,0
2021-10-04,4037,2085,315,75,14,0,85,0,434,6,402,445,15
2021-10-05,663,593,95,90,5,97,39,0,648,0,436,242,10
2021-10-06,1263,752,88,71,9,65,25,0,586,0,505,476,5
2021-10-07,1254,624,131,116,7,55,29,0,653,0,624,650,5
2021-10-08,1256,743,128,130,8,51,25,2,548,0,643,577,3
2021-10-09,0,0,0,100,0,45,27,0,489,0,602,492,0
2021-10-10,0,0,0,73,0,0,16,0,361,0,612,507,0
2021-10-11,0,0,0,98,0,0,16,5,354,0,480,425,0
2021-10-12,3358,2090,336,109,21,0,34,0,374,7,409,272,28
2021-10-13,652,605,75,82,4,81,22,0,374,0,512,305,3
2021-10-14,916,580,104,133,4,43,26,0,586,0,644,315,4
2021-10-15,1051,667,87,87,4,37,18,0,496,0,677,312,6
2021-10-16,0,0,0,66,0,21,37,0,384,0,678,412,0
2021-10-17,0,0,0,58,0,0,19,3,360,0,532,320,0
2021-10-18,2181,1845,243,53,8,0,22,0,317,0,410,275,21
2021-10-19,531,560,102,50,0,56,6,0,371,6,342,270,9
2021-10-20,786,696,51,69,9,18,5,0,444,0,458,246,6
2021-10-21,770,715,86,67,0,34,19,0,395,0,428,355,1
2021-10-22,656,649,119,40,30,17,23,0,407,0,329,302,3
2021-10-23,0,613,0,40,0,23,0,0,314,0,556,232,0
2021-10-24,0,529,0,51,0,0,0,0,250,0,429,237,0
2021-10-25,1592,476,319,22,36,0,57,0,307,0,324,170,14
2021-10-26,442,457,70,21,0,40,7,0,326,0,340,126,1
2021-10-27,645,599,122,57,20,17,26,0,460,0,478,223,10
2021-10-28,531,758,113,69,0,17,30,0,414,0,478,237,11
2021-10-29,603,584,141,48,8,3,26,0,364,0,511,238,8
2021-10-30,0,568,0,33,0,0,0,0,407,0,591,189,0
2021-10-31,0,470,0,32,0,0,0,0,324,0,567,170,0
2021-11-01,1210,332,335,31,2,8,59,0,377,0,497,129,23
2021-11-02,315,406,121,40,0,9,11,0,448,4,490,109,0
2021-11-03,487,430,122,60,1,6,38,0,527,0,525,172,29
2021-11-04,516,596,152,39,0,0,50,0,529,0,588,188,22
2021-11-05,466,549,126,51,8,0,38,0,599,0,571,141,22
2021-11-06,0,0,0,50,0,0,0,0,530,0,688,164,0
2021-11-07,0,0,0,53,0,0,0,0,478,0,545,157,0
2021-11-08,1300,1438,492,44,9,0,111,0,425,0,531,100,70
2021-11-09,422,500,177,52,0,39,56,0,579,5,545,85,45
2021-11-10,484,555,139,69,7,26,29,0,605,0,672,121,21
2021-11-11,0,0,0,70,0,0,0,0,703,0,663,182,0
2021-11-12,841,992,354,65,6,0,69,0,663,0,716,122,0
2021-11-13,0,0,0,60,0,50,0,0,589,0,715,53,28
2021-11-14,0,0,0,65,0,0,0,0,492,0,634,110,0
2021-11-15,1068,1270,392,40,2,20,98,0,498,4,509,28,97
2021-11-16,321,338,93,34,0,7,31,0,681,0,517,85,0
2021-11-17,412,324,153,82,4,1,19,0,683,0,718,173,44
2021-11-18,383,468,175,72,0,3,22,0,815,0,720,153,27
2021-11-19,412,486,194,90,4,0,27,0,676,0,745,89,32
2021-11-20,0,0,0,67,0,4,0,0,727,0,815,253,0
2021-11-21,0,0,0,90,0,0,0,0,611,0,707,62,0
2021-11-22,1125,1052,448,62,3,8,60,0,580,17,692,73,45
2021-11-23,253,324,126,75,0,11,28,0,774,0,699,68,20
2021-11-24,464,322,140,87,4,2,19,0,761,18,882,90,8
2021-11-25,379,424,183,95,0,2,22,0,977,0,2204,96,15
2021-11-26,356,341,145,99,6,0,28,0,899,0,1037,108,6
2021-11-27,0,0,0,85,0,0,0,0,873,0,1171,73,0
2021-11-28,0,0,0,45,0,0,0,0,761,0,875,53,0
2021-11-29,806,969,333,46,9,0,58,0,707,9,756,49,32
2021-11-30,238,358,124,55,0,1,61,0,948,0,784,42,7
2021-12-01,430,386,122,93,2,3,34,0,1064,0,1196,82,5
2021-12-02,366,368,167,95,0,5,40,0,1110,0,1146,71,14
2021-12-03,349,404,142,97,5,0,19,0,1181,0,1355,80,4
2021-12-04,0,0,0,77,0,1,0,0,965,0,1512,68,0
2021-12-05,0,0,0,118,0,0,0,1,866,0,1256,69,0
2021-12-06,788,946,537,71,7,0,46,0,1038,0,1189,48,17
2021-12-07,240,326,93,69,0,0,21,0,1193,25,1234,52,2
2021-12-08,388,379,175,111,5,0,33,1,1425,0,1367,48,5
2021-12-09,333,341,201,174,0,0,51,0,1541,0,1807,62,6
2021-12-10,287,437,193,143,2,1,123,0,1614,0,198,74,13
2021-12-11,0,0,0,126,0,0,129,0,1557,0,3797,134,0
2021-12-12,0,0,0,112,0,0,111,0,1518,0,1753,37,0
2021-12-13,863,1129,472,100,15,1,114,0,1706,23,1628,35,17
2021-12-14,250,519,161,109,0,0,127,0,2275,0,1747,47,5
2021-12-15,456,584,200,160,13,5,178,0,3134,0,2386,61,4
2021-12-16,473,753,211,177,0,6,287,0,3217,0,2736,55,8
2021-12-17,553,787,234,163,46,0,394,0,4012,0,3768,54,7
2021-12-18,0,0,0,133,23,0,426,0,4030,0,3631,61,0
2021-12-19,0,0,0,108,38,0,476,0,3840,0,3846,78,0
2021-12-20,1925,2550,805,118,27,0,485,0,4881,0,4571,59,29
2021-12-21,786,1308,298,156,27,1,522,0,5822,109,5043,67,2
2021-12-22,1346,1528,395,237,60,7,537,0,8321,0,6361,108,0
2021-12-23,1625,2046,551,257,100,0,689,3,11090,0,9397,198,9
2021-12-24,0,2441,739,265,85,0,611,2,10706,92,10031,205,7
2021-12-25,0,0,0,0,0,0,569,10,9000,0,9206,241,0
2021-12-26,0,0,0,0,0,0,578,5,9566,0,7874,151,0
2021-12-27,0,0,2144,639,357,0,581,0,10300,0,8231,136,0
2021-12-28,0,0,822,306,194,0,561,14,12898,272,12833,185,0
2021-12-29,10918,11013,946,486,312,0,586,37,17160,129,13149,297,27
2021-12-30,4000,4383,1121,572,349,97,511,18,17090,0,14188,591,34
2021-12-31,0,3795,1490,682,431,42,618,38,18611,0,16461,742,26
